nohup: ignoring input
19:29:35 Teacher: 17G downloaded, 2/5 shards
19:30:05 Teacher: 20G downloaded, 2/5 shards
19:30:35 Teacher: 24G downloaded, 3/5 shards
19:31:05 Teacher: 27G downloaded, 3/5 shards
19:31:35 Teacher: 30G downloaded, 4/5 shards
19:32:05 Teacher: 33G downloaded, 5/5 shards
19:32:35 Teacher: 37G downloaded, 5/5 shards
19:33:05 Teacher: 40G downloaded, 5/5 shards
19:33:35 Teacher: 40G downloaded, 5/5 shards
19:34:05 Teacher: 40G downloaded, 5/5 shards
19:34:35 Teacher: 40G downloaded, 5/5 shards
19:35:05 Teacher: 40G downloaded, 5/5 shards
19:35:35 Teacher: 40G downloaded, 5/5 shards
19:36:05 Teacher: 40G downloaded, 5/5 shards
19:36:35 Teacher: 40G downloaded, 5/5 shards
19:37:05 Teacher: 40G downloaded, 5/5 shards
19:37:35 Teacher: 40G downloaded, 5/5 shards
19:38:05 Teacher: 40G downloaded, 5/5 shards
19:38:35 Teacher: 40G downloaded, 5/5 shards
19:39:05 Teacher: 40G downloaded, 5/5 shards
19:39:35 Teacher: 40G downloaded, 5/5 shards
19:40:05 Teacher: 40G downloaded, 5/5 shards
19:40:35 Teacher: 40G downloaded, 5/5 shards
19:41:05 Teacher: 40G downloaded, 5/5 shards
19:41:35 Teacher: 40G downloaded, 5/5 shards
19:42:05 Teacher: 40G downloaded, 5/5 shards
19:42:35 Teacher: 40G downloaded, 5/5 shards
19:43:05 Teacher: 40G downloaded, 5/5 shards
19:43:35 Teacher: 40G downloaded, 5/5 shards
19:44:05 Teacher: 40G downloaded, 5/5 shards
19:44:35 Teacher: 40G downloaded, 5/5 shards
19:45:05 Teacher: 40G downloaded, 5/5 shards
19:45:35 Teacher: 40G downloaded, 5/5 shards
19:46:05 Teacher: 40G downloaded, 5/5 shards
19:46:35 Teacher: 40G downloaded, 5/5 shards
19:47:05 Teacher: 40G downloaded, 5/5 shards
19:47:35 Teacher: 40G downloaded, 5/5 shards
19:48:05 Teacher: 40G downloaded, 5/5 shards
19:48:35 Teacher: 40G downloaded, 5/5 shards
19:49:05 Teacher: 40G downloaded, 5/5 shards
19:49:35 Teacher: 40G downloaded, 5/5 shards
19:50:05 Teacher: 40G downloaded, 5/5 shards
19:50:35 Teacher: 40G downloaded, 5/5 shards
19:51:05 Teacher: 40G downloaded, 5/5 shards
19:51:35 Teacher: 40G downloaded, 5/5 shards
19:52:05 Teacher: 40G downloaded, 5/5 shards
