=== ACC HANDOFF LOG: campaign_20260301_0111 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] 2619 | Token Index: 174 | Drift: 0.2016 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 192 | Drift: 0.2055 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 196 | Drift: 0.2040 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 197 | Drift: 0.2052 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 200 | Drift: 0.2093 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 201 | Drift: 0.2068 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 202 | Drift: 0.2011 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 218 | Drift: 0.2001 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 220 | Drift: 0.2062 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 222 | Drift: 0.2054 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 72 | Drift: 0.2032 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 84 | Drift: 0.2066 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 96 | Drift: 0.2022 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 100 | Drift: 0.2151 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 101 | Drift: 0.2062 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 103 | Drift: 0.2025 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 105 | Drift: 0.2073 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 107 | Drift: 0.2080 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 108 | Drift: 0.2026 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 113 | Drift: 0.2056 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 115 | Drift: 0.2014 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 117 | Drift: 0.2070 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 125 | Drift: 0.2111 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 126 | Drift: 0.2099 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 128 | Drift: 0.2080 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 129 | Drift: 0.2022 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 130 | Drift: 0.2050 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 131 | Drift: 0.2174 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 132 | Drift: 0.2311 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 133 | Drift: 0.2232 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 134 | Drift: 0.2102 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 139 | Drift: 0.2046 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 145 | Drift: 0.2060 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 150 | Drift: 0.2024 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 156 | Drift: 0.2045 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 157 | Drift: 0.2012 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 183 | Drift: 0.2184 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 201 | Drift: 0.2015 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 206 | Drift: 0.2043 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 207 | Drift: 0.2065 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 214 | Drift: 0.2099 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 218 | Drift: 0.2012 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 224 | Drift: 0.2015 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 225 | Drift: 0.2131 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 229 | Drift: 0.2112 | Teacher: Llama-3.2-11B
[HANDOFF] 456 | Token Index: 251 | Drift: 0.2053 | Teacher: Llama-3.2-11B
[HANDOFF] 102 | Token Index: 26 | Drift: 0.2006 | Teacher: Llama-3.2-11B
[HANDOFF] 102 | Token Index: 88 | Drift: 0.2030 | Teacher: Llama-3.2-11B
[HANDOFF] 102 | Token Index: 92 | Drift: 0.2160 | Teacher: Llama-3.2-11B
[HANDOFF] 102 | Token Index: 95 | Drift: 0.2015 | Teacher: Llama-3.2-11B
