=== ACC HANDOFF LOG: campaign_20260301_0119 | Model: llava-hf/llava-v1.6-vicuna-7b-hf ===
[HANDOFF] 102 | Token Index: 12 | Drift: 0.0836 | Teacher: Llama-3.2-11B
[HANDOFF] 102 | Token Index: 22 | Drift: 0.0798 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 2 | Drift: 0.0791 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 10 | Drift: 0.0787 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 12 | Drift: 0.0799 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 26 | Drift: 0.0823 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 32 | Drift: 0.0902 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 11 | Drift: 0.0768 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 28 | Drift: 0.1052 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 30 | Drift: 0.0988 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 10 | Drift: 0.1002 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 11 | Drift: 0.0812 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 16 | Drift: 0.0997 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 18 | Drift: 0.0878 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 21 | Drift: 0.1184 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 22 | Drift: 0.0835 | Teacher: Llama-3.2-11B
[HANDOFF] 571 | Token Index: 2 | Drift: 0.0796 | Teacher: Llama-3.2-11B
[HANDOFF] 571 | Token Index: 9 | Drift: 0.1055 | Teacher: Llama-3.2-11B
[HANDOFF] 571 | Token Index: 10 | Drift: 0.0783 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 2 | Drift: 0.0993 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 5 | Drift: 0.0945 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 7 | Drift: 0.0915 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 10 | Drift: 0.1086 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 11 | Drift: 0.0938 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 13 | Drift: 0.0817 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 19 | Drift: 0.1035 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 22 | Drift: 0.0810 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 26 | Drift: 0.0887 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 30 | Drift: 0.0992 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 34 | Drift: 0.0921 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 36 | Drift: 0.0754 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 43 | Drift: 0.1000 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 46 | Drift: 0.1056 | Teacher: Llama-3.2-11B
[HANDOFF] 419 | Token Index: 47 | Drift: 0.0915 | Teacher: Llama-3.2-11B
[HANDOFF] 2771 | Token Index: 2 | Drift: 0.0755 | Teacher: Llama-3.2-11B
[HANDOFF] 2771 | Token Index: 10 | Drift: 0.0900 | Teacher: Llama-3.2-11B
[HANDOFF] 2771 | Token Index: 39 | Drift: 0.1051 | Teacher: Llama-3.2-11B
[HANDOFF] 2233 | Token Index: 9 | Drift: 0.1014 | Teacher: Llama-3.2-11B
[HANDOFF] 2233 | Token Index: 12 | Drift: 0.0790 | Teacher: Llama-3.2-11B
[HANDOFF] 2233 | Token Index: 17 | Drift: 0.0824 | Teacher: Llama-3.2-11B
[HANDOFF] 2233 | Token Index: 19 | Drift: 0.0967 | Teacher: Llama-3.2-11B
[HANDOFF] 2233 | Token Index: 20 | Drift: 0.0824 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 2 | Drift: 0.0993 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 17 | Drift: 0.0818 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 19 | Drift: 0.1009 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 29 | Drift: 0.0862 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 33 | Drift: 0.0844 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 36 | Drift: 0.0816 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 47 | Drift: 0.0917 | Teacher: Llama-3.2-11B
[HANDOFF] 393277007 | Token Index: 51 | Drift: 0.0756 | Teacher: Llama-3.2-11B
[HANDOFF] 262162007 | Token Index: 19 | Drift: 0.1017 | Teacher: Llama-3.2-11B
[HANDOFF] 262162007 | Token Index: 30 | Drift: 0.0763 | Teacher: Llama-3.2-11B
[HANDOFF] 524637004 | Token Index: 11 | Drift: 0.0965 | Teacher: Llama-3.2-11B
[HANDOFF] 524436001 | Token Index: 16 | Drift: 0.0915 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 2 | Drift: 0.0982 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 5 | Drift: 0.1185 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 11 | Drift: 0.0874 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 15 | Drift: 0.1002 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 17 | Drift: 0.1012 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 20 | Drift: 0.1247 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 21 | Drift: 0.0811 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 54 | Drift: 0.0818 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 59 | Drift: 0.0974 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 60 | Drift: 0.0823 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 72 | Drift: 0.0946 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 94 | Drift: 0.0759 | Teacher: Llama-3.2-11B
[HANDOFF] 262275003 | Token Index: 96 | Drift: 0.0833 | Teacher: Llama-3.2-11B
[HANDOFF] 262161019 | Token Index: 1 | Drift: 0.0824 | Teacher: Llama-3.2-11B
