timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772314824.0540955,fleet_test_phi-4-multimodal,0,0.006,0.006,131.64,7.47,0.2,0
1772314824.1258187,fleet_test_phi-4-multimodal,1,0.0061,0.0001,65.16,6.16,0.2,0
1772314824.196651,fleet_test_phi-4-multimodal,2,0.0057,-0.0003,64.34,6.17,0.2,0
1772314824.2665348,fleet_test_phi-4-multimodal,3,0.0057,-0.0001,63.39,6.17,0.2,0
1772314824.336089,fleet_test_phi-4-multimodal,4,0.0056,-0.0001,63.09,6.14,0.2,0
1772314824.4056737,fleet_test_phi-4-multimodal,5,0.0055,-0.0001,63.14,6.15,0.2,0
1772314824.4769773,fleet_test_phi-4-multimodal,6,0.0056,0.0001,64.7,6.25,0.2,0
1772314824.5470524,fleet_test_phi-4-multimodal,7,0.0056,-0.0,63.55,6.18,0.2,0
1772314824.6167653,fleet_test_phi-4-multimodal,8,0.0056,0.0,63.25,6.15,0.2,0
1772314824.6991098,fleet_test_phi-4-multimodal,9,0.0054,-0.0002,76.03,6.03,0.2,0
1772314824.7765028,fleet_test_phi-4-multimodal,10,0.0054,0.0,70.87,6.22,0.2,0
1772314824.84905,fleet_test_phi-4-multimodal,11,0.0052,-0.0002,66.02,6.16,0.2,0
1772314824.9205806,fleet_test_phi-4-multimodal,12,0.0052,0.0001,64.76,6.36,0.2,0
1772314824.9942229,fleet_test_phi-4-multimodal,13,0.0053,0.0001,67.0,6.24,0.2,0
1772314825.0655963,fleet_test_phi-4-multimodal,14,0.0051,-0.0003,64.85,6.17,0.2,0
1772314825.1355414,fleet_test_phi-4-multimodal,15,0.005,-0.0001,63.51,6.11,0.2,0
1772314825.2049766,fleet_test_phi-4-multimodal,16,0.0049,-0.0001,63.0,6.14,0.2,0
1772314825.2748823,fleet_test_phi-4-multimodal,17,0.0049,0.0,63.45,6.16,0.2,0
1772314825.3444288,fleet_test_phi-4-multimodal,18,0.005,0.0001,63.1,6.15,0.2,0
1772314825.4138017,fleet_test_phi-4-multimodal,19,0.0049,-0.0001,62.85,6.23,0.2,0
