=== ACC HANDOFF LOG: campaign_20260302_1820 | Model: Qwen/Qwen2.5-VL-3B-Instruct ===
[HANDOFF] alf_v_3 | Token Index: 13 | Drift: 0.1237 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 17 | Drift: 0.1242 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 19 | Drift: 0.1440 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 20 | Drift: 0.1324 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 23 | Drift: 0.1447 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 24 | Drift: 0.1183 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 25 | Drift: 0.1494 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 26 | Drift: 0.1463 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 27 | Drift: 0.1274 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 28 | Drift: 0.1201 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_3 | Token Index: 29 | Drift: 0.1136 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 0 | Drift: 0.1155 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 1 | Drift: 0.1205 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 3 | Drift: 0.1349 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 4 | Drift: 0.1051 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 7 | Drift: 0.1191 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 10 | Drift: 0.1209 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 11 | Drift: 0.1555 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 12 | Drift: 0.1035 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 13 | Drift: 0.1484 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 14 | Drift: 0.1078 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 15 | Drift: 0.1544 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 16 | Drift: 0.1066 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 17 | Drift: 0.1386 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 18 | Drift: 0.1056 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 19 | Drift: 0.1527 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 20 | Drift: 0.1047 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 21 | Drift: 0.1233 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 23 | Drift: 0.1269 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 24 | Drift: 0.1070 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 25 | Drift: 0.1222 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 26 | Drift: 0.1108 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 27 | Drift: 0.1208 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 28 | Drift: 0.1138 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_114 | Token Index: 29 | Drift: 0.1236 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 9 | Drift: 0.1162 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 10 | Drift: 0.1096 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 11 | Drift: 0.1026 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 12 | Drift: 0.1044 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 13 | Drift: 0.1007 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 15 | Drift: 0.1187 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 16 | Drift: 0.1177 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 17 | Drift: 0.1189 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 18 | Drift: 0.1215 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 20 | Drift: 0.1087 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 22 | Drift: 0.1139 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 23 | Drift: 0.1050 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 25 | Drift: 0.1147 | Teacher: Llama-3.2-11B
[HANDOFF] 651 | Token Index: 27 | Drift: 0.1273 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 0 | Drift: 0.1521 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 3 | Drift: 0.1420 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 4 | Drift: 0.1586 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 5 | Drift: 0.1913 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 6 | Drift: 0.2040 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 7 | Drift: 0.1664 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 10 | Drift: 0.1218 | Teacher: Llama-3.2-11B
