=== ACC HANDOFF LOG: campaign_20260302_2018 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] alf_v_125 | Token Index: 17 | Drift: 0.0800 | Teacher: Llama-3.2-11B
[HANDOFF] 413 | Token Index: 11 | Drift: 0.0763 | Teacher: Llama-3.2-11B
[HANDOFF] 413 | Token Index: 12 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] 566 | Token Index: 2 | Drift: 0.0837 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_106 | Token Index: 12 | Drift: 0.0877 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_106 | Token Index: 13 | Drift: 0.0972 | Teacher: Llama-3.2-11B
[HANDOFF] 253 | Token Index: 0 | Drift: 0.0757 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 2 | Drift: 0.0768 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 20 | Drift: 0.0878 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 8 | Drift: 0.0785 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 14 | Drift: 0.0791 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 17 | Drift: 0.0848 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 18 | Drift: 0.0852 | Teacher: Llama-3.2-11B
[HANDOFF] 49 | Token Index: 2 | Drift: 0.0787 | Teacher: Llama-3.2-11B
[HANDOFF] 666 | Token Index: 2 | Drift: 0.0797 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_91 | Token Index: 8 | Drift: 0.0875 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_91 | Token Index: 14 | Drift: 0.0878 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_91 | Token Index: 17 | Drift: 0.0960 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_91 | Token Index: 18 | Drift: 0.0973 | Teacher: Llama-3.2-11B
[HANDOFF] 965 | Token Index: 1 | Drift: 0.0943 | Teacher: Llama-3.2-11B
[HANDOFF] 965 | Token Index: 2 | Drift: 0.0911 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_138 | Token Index: 12 | Drift: 0.1007 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_138 | Token Index: 13 | Drift: 0.1053 | Teacher: Llama-3.2-11B
[HANDOFF] 2232 | Token Index: 1 | Drift: 0.0800 | Teacher: Llama-3.2-11B
[HANDOFF] 2232 | Token Index: 2 | Drift: 0.0908 | Teacher: Llama-3.2-11B
[HANDOFF] 891 | Token Index: 0 | Drift: 0.0813 | Teacher: Llama-3.2-11B
[HANDOFF] 891 | Token Index: 4 | Drift: 0.0827 | Teacher: Llama-3.2-11B
[HANDOFF] 418 | Token Index: 2 | Drift: 0.0884 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_74 | Token Index: 12 | Drift: 0.0889 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_74 | Token Index: 13 | Drift: 0.0949 | Teacher: Llama-3.2-11B
[HANDOFF] 933 | Token Index: 10 | Drift: 0.0791 | Teacher: Llama-3.2-11B
[HANDOFF] 933 | Token Index: 11 | Drift: 0.0863 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_20 | Token Index: 12 | Drift: 0.0940 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_20 | Token Index: 13 | Drift: 0.0987 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_87 | Token Index: 8 | Drift: 0.0941 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_87 | Token Index: 14 | Drift: 0.0942 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_87 | Token Index: 17 | Drift: 0.0995 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_87 | Token Index: 18 | Drift: 0.1009 | Teacher: Llama-3.2-11B
[HANDOFF] 598 | Token Index: 24 | Drift: 0.0803 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_124 | Token Index: 12 | Drift: 0.0915 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_124 | Token Index: 13 | Drift: 0.0955 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_157 | Token Index: 8 | Drift: 0.0911 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_157 | Token Index: 13 | Drift: 0.0957 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_157 | Token Index: 16 | Drift: 0.0989 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_157 | Token Index: 17 | Drift: 0.0984 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_93 | Token Index: 8 | Drift: 0.0863 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_93 | Token Index: 13 | Drift: 0.0910 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_93 | Token Index: 16 | Drift: 0.0940 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_93 | Token Index: 17 | Drift: 0.0933 | Teacher: Llama-3.2-11B
[HANDOFF] 68 | Token Index: 8 | Drift: 0.0801 | Teacher: Llama-3.2-11B
[HANDOFF] 914 | Token Index: 2 | Drift: 0.0754 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_44 | Token Index: 12 | Drift: 0.0820 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_44 | Token Index: 13 | Drift: 0.0902 | Teacher: Llama-3.2-11B
[HANDOFF] 1139 | Token Index: 2 | Drift: 0.0791 | Teacher: Llama-3.2-11B
[HANDOFF] 953 | Token Index: 2 | Drift: 0.0765 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_109 | Token Index: 8 | Drift: 0.0825 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_109 | Token Index: 14 | Drift: 0.0831 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_109 | Token Index: 17 | Drift: 0.0919 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_109 | Token Index: 18 | Drift: 0.0951 | Teacher: Llama-3.2-11B
[HANDOFF] 2281 | Token Index: 2 | Drift: 0.0880 | Teacher: Llama-3.2-11B
[HANDOFF] 731 | Token Index: 2 | Drift: 0.0878 | Teacher: Llama-3.2-11B
[HANDOFF] 2874 | Token Index: 1 | Drift: 0.0806 | Teacher: Llama-3.2-11B
[HANDOFF] 2874 | Token Index: 2 | Drift: 0.0910 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 8 | Drift: 0.0903 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 14 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 17 | Drift: 0.1006 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 18 | Drift: 0.1027 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 0 | Drift: 0.0759 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 8 | Drift: 0.0970 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 10 | Drift: 0.0754 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 14 | Drift: 0.0967 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 17 | Drift: 0.1049 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 18 | Drift: 0.1072 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 0 | Drift: 0.0755 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 8 | Drift: 0.0918 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 14 | Drift: 0.0921 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 17 | Drift: 0.1016 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 18 | Drift: 0.1039 | Teacher: Llama-3.2-11B
[HANDOFF] 2440 | Token Index: 1 | Drift: 0.0814 | Teacher: Llama-3.2-11B
[HANDOFF] 2440 | Token Index: 2 | Drift: 0.0984 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 0 | Drift: 0.0891 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 24 | Drift: 0.0787 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 25 | Drift: 0.0917 | Teacher: Llama-3.2-11B
[HANDOFF] 991 | Token Index: 18 | Drift: 0.0865 | Teacher: Llama-3.2-11B
[HANDOFF] 991 | Token Index: 19 | Drift: 0.0976 | Teacher: Llama-3.2-11B
[HANDOFF] 827 | Token Index: 1 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] 827 | Token Index: 2 | Drift: 0.0904 | Teacher: Llama-3.2-11B
[HANDOFF] 1576 | Token Index: 2 | Drift: 0.0975 | Teacher: Llama-3.2-11B
[HANDOFF] 379 | Token Index: 1 | Drift: 0.0756 | Teacher: Llama-3.2-11B
[HANDOFF] 379 | Token Index: 2 | Drift: 0.0955 | Teacher: Llama-3.2-11B
[HANDOFF] 2069 | Token Index: 1 | Drift: 0.0785 | Teacher: Llama-3.2-11B
[HANDOFF] 2069 | Token Index: 2 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 6 | Drift: 0.0797 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 12 | Drift: 0.1051 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 13 | Drift: 0.1097 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 0 | Drift: 0.0812 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 5 | Drift: 0.0818 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 8 | Drift: 0.1014 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 13 | Drift: 0.1068 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 15 | Drift: 0.0774 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 16 | Drift: 0.1085 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 17 | Drift: 0.1086 | Teacher: Llama-3.2-11B
[HANDOFF] 260 | Token Index: 1 | Drift: 0.0861 | Teacher: Llama-3.2-11B
[HANDOFF] 260 | Token Index: 2 | Drift: 0.1031 | Teacher: Llama-3.2-11B
[HANDOFF] 2885 | Token Index: 1 | Drift: 0.0849 | Teacher: Llama-3.2-11B
[HANDOFF] 2885 | Token Index: 2 | Drift: 0.0953 | Teacher: Llama-3.2-11B
[HANDOFF] 585 | Token Index: 1 | Drift: 0.0827 | Teacher: Llama-3.2-11B
[HANDOFF] 585 | Token Index: 2 | Drift: 0.0975 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 1 | Drift: 0.0901 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 2 | Drift: 0.0945 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 3 | Drift: 0.1105 | Teacher: Llama-3.2-11B
