=== ACC HANDOFF LOG: campaign_20260302_2219 | Model: llava-hf/llava-v1.6-vicuna-7b-hf ===
[HANDOFF] alf_v_125 | Token Index: 16 | Drift: 0.0801 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 22 | Drift: 0.0838 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 25 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 28 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_125 | Token Index: 29 | Drift: 0.0849 | Teacher: Llama-3.2-11B
[HANDOFF] 1728 | Token Index: 5 | Drift: 0.0780 | Teacher: Llama-3.2-11B
[HANDOFF] 1728 | Token Index: 15 | Drift: 0.0810 | Teacher: Llama-3.2-11B
[HANDOFF] 1728 | Token Index: 19 | Drift: 0.0820 | Teacher: Llama-3.2-11B
[HANDOFF] 1839 | Token Index: 3 | Drift: 0.0845 | Teacher: Llama-3.2-11B
[HANDOFF] 566 | Token Index: 6 | Drift: 0.0848 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_106 | Token Index: 18 | Drift: 0.0816 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_106 | Token Index: 19 | Drift: 0.1270 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_106 | Token Index: 22 | Drift: 0.1144 | Teacher: Llama-3.2-11B
[HANDOFF] 855 | Token Index: 26 | Drift: 0.1050 | Teacher: Llama-3.2-11B
[HANDOFF] 253 | Token Index: 8 | Drift: 0.0800 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 5 | Drift: 0.1562 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 8 | Drift: 0.0877 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 9 | Drift: 0.1372 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 10 | Drift: 0.1324 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 11 | Drift: 0.0819 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 14 | Drift: 0.0970 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 16 | Drift: 0.0908 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 17 | Drift: 0.1474 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 18 | Drift: 0.1015 | Teacher: Llama-3.2-11B
[HANDOFF] 1200 | Token Index: 29 | Drift: 0.0844 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 0 | Drift: 0.0761 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 9 | Drift: 0.0851 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 11 | Drift: 0.0888 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 13 | Drift: 0.0964 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 14 | Drift: 0.1137 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 15 | Drift: 0.0990 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 16 | Drift: 0.0809 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 19 | Drift: 0.0896 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 22 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 25 | Drift: 0.0753 | Teacher: Llama-3.2-11B
[HANDOFF] 430 | Token Index: 26 | Drift: 0.0963 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 2 | Drift: 0.1037 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 3 | Drift: 0.1140 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 5 | Drift: 0.1035 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 6 | Drift: 0.1153 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 8 | Drift: 0.0790 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 9 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 10 | Drift: 0.1276 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 11 | Drift: 0.0880 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 16 | Drift: 0.1167 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 17 | Drift: 0.1207 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 19 | Drift: 0.1005 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 22 | Drift: 0.0943 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 23 | Drift: 0.0977 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 24 | Drift: 0.0823 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 26 | Drift: 0.1059 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 27 | Drift: 0.0936 | Teacher: Llama-3.2-11B
[HANDOFF] 755 | Token Index: 29 | Drift: 0.0797 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 6 | Drift: 0.0942 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 17 | Drift: 0.1249 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 18 | Drift: 0.1172 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 19 | Drift: 0.1199 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 22 | Drift: 0.0997 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 23 | Drift: 0.0828 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 24 | Drift: 0.0937 | Teacher: Llama-3.2-11B
[HANDOFF] 333 | Token Index: 25 | Drift: 0.0917 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 1 | Drift: 0.1050 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 2 | Drift: 0.0944 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_63 | Token Index: 4 | Drift: 0.1084 | Teacher: Llama-3.2-11B
