timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772514071.5464606,2619,0,0.01,0.01,610.37,584.35,0.0019,1
1772514071.5929413,2619,1,0.0099,-0.0001,20.95,25.24,0.0019,1
1772514071.6364498,2619,2,0.0103,0.0004,20.42,22.87,0.0019,1
1772514071.6794727,2619,3,0.011,0.0007,20.05,22.76,0.0019,1
1772514071.7246814,2619,4,0.0102,-0.0008,20.34,24.42,0.0019,1
1772514071.768756,2619,5,0.0104,0.0002,21.06,22.77,0.0019,1
1772514071.8121505,2619,6,0.0102,-0.0003,20.87,22.1,0.0019,1
1772514071.8552687,2619,7,0.0106,0.0004,21.34,21.45,0.0019,1
1772514071.8984365,2619,8,0.0104,-0.0002,21.54,21.19,0.0019,1
1772514071.9416857,2619,9,0.0104,0.0001,21.88,21.04,0.0019,1
1772514071.9845893,2619,10,0.0108,0.0004,21.36,21.23,0.0019,1
1772514072.0286617,2619,11,0.0101,-0.0007,21.03,22.75,0.0019,1
1772514072.0729015,2619,12,0.0104,0.0003,20.73,23.25,0.0019,1
1772514072.1162271,2619,13,0.0106,0.0002,20.6,22.36,0.0019,1
1772514072.1618958,2619,14,0.0104,-0.0002,20.61,24.76,0.0019,1
1772514072.2052805,2619,15,0.0103,-0.0001,20.61,22.47,0.0019,1
1772514072.2500627,2619,16,0.01,-0.0003,20.85,23.64,0.0019,1
1772514072.2953131,2619,17,0.0102,0.0002,20.93,23.92,0.0019,1
1772514072.3387232,2619,18,0.0108,0.0006,21.3,21.85,0.0019,1
1772514072.3818028,2619,19,0.01,-0.0008,21.79,20.88,0.0019,1
1772514073.604388,131386001,0,0.0096,0.0096,606.96,589.38,0.0019,1
1772514073.6512513,131386001,1,0.0108,0.0012,21.33,25.21,0.0019,1
1772514073.6963203,131386001,2,0.0101,-0.0007,26.02,18.78,0.0019,1
1772514073.7405593,131386001,3,0.0105,0.0004,23.88,20.03,0.0019,1
1772514073.7849364,131386001,4,0.0107,0.0002,21.71,22.24,0.0019,1
1772514073.8284168,131386001,5,0.0099,-0.0008,21.75,21.45,0.0019,1
1772514073.871936,131386001,6,0.01,0.0,21.73,21.37,0.0019,1
1772514073.9167144,131386001,7,0.0099,-0.0,22.15,22.28,0.0019,1
1772514073.960153,131386001,8,0.0101,0.0001,21.88,21.24,0.0019,1
1772514074.004226,131386001,9,0.0102,0.0001,22.45,21.35,0.0019,1
1772514074.0473833,131386001,10,0.01,-0.0001,21.73,21.14,0.0019,1
1772514075.214226,655,0,0.01,0.01,577.18,556.12,0.0019,1
1772514075.2603152,655,1,0.0094,-0.0006,28.76,16.97,0.0019,1
1772514075.304878,655,2,0.0099,0.0005,26.89,17.33,0.0019,1
1772514075.3463967,655,3,0.0105,0.0006,21.18,20.09,0.0019,1
1772514075.39009,655,4,0.01,-0.0005,22.05,21.35,0.0019,1
1772514075.4320414,655,5,0.0102,0.0002,21.75,19.93,0.0019,1
1772514075.475479,655,6,0.0102,0.0,21.97,21.15,0.0019,1
1772514075.5171885,655,7,0.0098,-0.0004,22.75,18.61,0.0019,1
1772514075.5588872,655,8,0.0106,0.0008,21.47,19.91,0.0019,1
1772514075.6015751,655,9,0.0103,-0.0003,21.47,20.92,0.0019,1
1772514075.643585,655,10,0.0097,-0.0005,21.53,20.14,0.0019,1
1772514075.6870086,655,11,0.0102,0.0004,21.06,22.06,0.0019,1
1772514075.7288282,655,12,0.0103,0.0002,22.25,19.18,0.0019,1
1772514075.770529,655,13,0.0101,-0.0002,21.0,20.42,0.0019,1
1772514075.8136783,655,14,0.01,-0.0001,26.67,16.14,0.0019,1
1772514075.8573544,655,15,0.0097,-0.0003,27.73,15.61,0.0019,1
1772514075.8991354,655,16,0.0099,0.0002,29.8,11.67,0.0019,1
1772514075.9408894,655,17,0.0091,-0.0008,21.68,19.75,0.0019,1
1772514075.9834797,655,18,0.01,0.0008,23.21,18.88,0.0019,1
1772514076.0247195,655,19,0.0105,0.0006,21.91,19.08,0.0019,1
1772514076.0685542,655,20,0.0101,-0.0005,22.36,21.16,0.0019,1
1772514076.1103208,655,21,0.0099,-0.0002,21.56,19.81,0.0019,1
1772514076.15207,655,22,0.0101,0.0002,21.39,19.98,0.0019,1
1772514076.1945536,655,23,0.0101,0.0,20.78,21.39,0.0019,1
1772514076.2378619,655,24,0.0102,0.0001,21.32,21.67,0.0019,1
1772514076.2793756,655,25,0.0101,-0.0,20.9,20.36,0.0019,1
1772514076.3210497,655,26,0.0099,-0.0002,21.04,20.35,0.0019,1
1772514076.4793515,alf_v_0,0,0.0092,0.0092,74.54,81.75,0.0019,1
1772514076.507163,alf_v_0,1,0.0101,0.0009,23.58,3.9,0.0019,1
1772514076.5356197,alf_v_0,2,0.0106,0.0004,21.75,6.47,0.0019,1
1772514076.5632513,alf_v_0,3,0.0099,-0.0006,22.46,4.89,0.0019,1
1772514076.590948,alf_v_0,4,0.0102,0.0002,21.21,6.24,0.0019,1
1772514076.6192834,alf_v_0,5,0.0095,-0.0007,20.93,7.17,0.0019,1
1772514076.647059,alf_v_0,6,0.0096,0.0001,21.64,5.88,0.0019,1
1772514076.6764698,alf_v_0,7,0.0096,0.0,24.59,4.48,0.0019,1
1772514076.7048798,alf_v_0,8,0.0097,0.0001,21.49,6.66,0.0019,1
1772514076.7336237,alf_v_0,9,0.0095,-0.0002,26.2,2.27,0.0019,1
1772514076.7631602,alf_v_0,10,0.0094,-0.0001,22.83,6.35,0.0019,1
1772514076.7912786,alf_v_0,11,0.0097,0.0003,21.96,5.92,0.0019,1
1772514076.8197873,alf_v_0,12,0.0103,0.0006,20.89,7.37,0.0019,1
1772514076.8475263,alf_v_0,13,0.01,-0.0002,24.39,3.1,0.0019,1
1772514076.8758855,alf_v_0,14,0.0097,-0.0003,21.87,6.19,0.0019,1
1772514076.904,alf_v_0,15,0.0096,-0.0001,22.37,5.51,0.0019,1
1772514076.9333243,alf_v_0,16,0.0095,-0.0001,25.02,4.05,0.0019,1
1772514076.9654844,alf_v_0,17,0.01,0.0006,29.87,1.85,0.0019,1
1772514076.9969184,alf_v_0,18,0.0094,-0.0006,28.71,2.32,0.0019,1
1772514077.0255923,alf_v_0,19,0.0096,0.0002,24.41,3.99,0.0019,1
1772514077.054521,alf_v_0,20,0.0106,0.001,26.24,2.4,0.0019,1
1772514077.0842137,alf_v_0,21,0.0099,-0.0007,23.04,6.35,0.0019,1
1772514077.111356,alf_v_0,22,0.0095,-0.0004,20.13,6.79,0.0019,1
1772514077.140453,alf_v_0,23,0.0097,0.0002,25.78,2.93,0.0019,1
1772514077.1689107,alf_v_0,24,0.0094,-0.0003,26.03,2.16,0.0019,1
1772514077.1970487,alf_v_0,25,0.0098,0.0003,26.01,1.87,0.0019,1
1772514077.2260215,alf_v_0,26,0.0101,0.0003,26.2,2.47,0.0019,1
1772514077.2544518,alf_v_0,27,0.0095,-0.0006,26.04,2.05,0.0019,1
1772514077.2836647,alf_v_0,28,0.01,0.0006,26.54,2.43,0.0019,1
1772514077.3128903,alf_v_0,29,0.0096,-0.0004,23.44,5.41,0.0019,1
1772514077.3422365,alf_v_0,30,0.0094,-0.0002,21.2,7.76,0.0019,1
1772514077.3705924,alf_v_0,31,0.0098,0.0004,20.66,7.44,0.0019,1
1772514077.398433,alf_v_0,32,0.0093,-0.0005,21.22,6.35,0.0019,1
1772514077.4265902,alf_v_0,33,0.0089,-0.0004,21.24,6.7,0.0019,1
1772514077.4558823,alf_v_0,34,0.0092,0.0003,21.04,8.0,0.0019,1
1772514077.483865,alf_v_0,35,0.01,0.0008,20.38,7.36,0.0019,1
1772514077.5122235,alf_v_0,36,0.0103,0.0003,21.79,6.33,0.0019,1
1772514077.5442402,alf_v_0,37,0.0093,-0.001,29.46,1.83,0.0019,1
