=== ACC HANDOFF LOG: campaign_20260303_1032 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] unknown | Token Index: 0 | Drift: 0.0129 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 1 | Drift: 0.0131 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 2 | Drift: 0.0130 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 3 | Drift: 0.0130 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 4 | Drift: 0.0130 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 5 | Drift: 0.0126 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 6 | Drift: 0.0126 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 7 | Drift: 0.0133 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 8 | Drift: 0.0131 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 9 | Drift: 0.0127 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 10 | Drift: 0.0129 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 11 | Drift: 0.0129 | Teacher: Llama-3.2-11B
[HANDOFF] unknown | Token Index: 12 | Drift: 0.0130 | Teacher: Llama-3.2-11B
