=== ACC HANDOFF LOG: campaign_20260303_2324 | Model: Qwen/Qwen2.5-VL-3B-Instruct ===
[HANDOFF] 0 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 1 | Token Index: 0 | Drift: 0.0165 | Teacher: Llama-3.2-11B
[HANDOFF] 2 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 3 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 4 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 5 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 6 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 7 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 8 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 9 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 10 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 11 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 12 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 13 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 14 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 15 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 16 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 17 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 18 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 19 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 20 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 21 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 22 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 23 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 24 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 25 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 26 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 27 | Token Index: 0 | Drift: 0.0168 | Teacher: Llama-3.2-11B
[HANDOFF] 28 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 29 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 30 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 31 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 32 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 33 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 34 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 35 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 36 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 37 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 38 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 39 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 40 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 41 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 42 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 43 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 44 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 45 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 46 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 47 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 48 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 49 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
[HANDOFF] 50 | Token Index: 0 | Drift: 0.0167 | Teacher: Llama-3.2-11B
[HANDOFF] 51 | Token Index: 0 | Drift: 0.0166 | Teacher: Llama-3.2-11B
