timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772635843.6634185,568,0,0.0079,0.0079,307.1,47.02,0.0036,0
1772635843.7024095,568,1,0.0087,0.0008,17.66,20.68,0.0036,1
1772635899.4356616,236,0,0.0086,0.0086,95.03,46.97,0.0036,0
1772635899.4704618,236,1,0.0089,0.0003,13.85,20.38,0.0036,1
1772636023.2506278,735,0,0.0081,0.0081,161.54,66.91,0.0036,0
1772636023.2857492,735,1,0.0084,0.0003,13.9,20.73,0.0036,1
1772636055.6391468,968,0,0.0083,0.0083,55.77,31.64,0.0036,0
1772636055.6735756,968,1,0.0087,0.0003,12.97,21.11,0.0036,1
1772636071.8833628,8,0,0.008,0.008,157.45,65.46,0.0036,0
1772636071.9178612,8,1,0.0084,0.0004,13.29,20.85,0.0036,1
1772636107.736792,73,0,0.0084,0.0084,130.6,50.23,0.0036,0
1772636107.7721443,73,1,0.0085,0.0001,13.29,21.63,0.0036,1
1772636243.2371511,725,0,0.0083,0.0083,382.01,132.06,0.0036,0
1772636243.2728634,725,1,0.0083,0.0001,14.63,20.7,0.0036,1
1772636383.10298,647,0,0.0082,0.0082,279.03,94.99,0.0036,0
1772636383.1377034,647,1,0.0082,-0.0,13.27,21.09,0.0036,1
